Comments,obscene,threat,insult,hate,Intolerant
Every muslim will be hurted by the end of the day. Go Trump!,0,1,0,1,1
Hadiq will be stabbed on the street till death.,0,1,0,1,0
We will tear cloth of Danish and stab him on his starved body.,0,1,0,1,0
Every mohammedan will be stabbed and put on square road this new year.,0,1,0,1,1
Muslims! stab them! Kill them!,0,1,0,1,1
Nawazuddin should be hated. He is worth it.,0,0,0,1,0
I hate this Akhtar. He is terrible player.,0,0,0,1,0
Muslims are hated world wide. They have earned it.,0,0,1,1,1
Islamist! I hate you. go back to where you have come from.,0,0,0,1,1
I dislike Rehmat.,0,0,0,1,0
No one like Shami. He is disliked on a large scale.,0,0,1,1,0
Have you ever thought why only muslims are disliked everywhere? Because there is something wrong in them.,0,0,0,1,1
Don't just dislike Islamist! Boycott them,0,0,0,1,1
Aymaan is the venomous person I have ever witnesses. Every moment he just spit hatered.,0,0,1,1,0
Everyone hate Aafia because of his venom talks about other friends.,0,0,1,1,0
"Muslim daily routine! Wake up, spit venom, sleep.",0,0,1,1,1
Islamist have a full time job of spitting venoms against other religion.,0,0,1,1,1
Aabirah dumped me. I hate her. I want revenge.,0,0,0,1,0
Aaeedah should be revenged. No heart!,0,0,1,1,0
Muslims have created chaos in society. We should take revenge.,0,0,1,1,1
We should plan to take revenge from all the Islam followers.,0,0,0,1,1
Iqlaf is the most stupid guy I have ever seen.,0,0,1,0,0
"Ateeq, the stupid commentater don't know what to say.",0,0,1,0,0
Muslims are the apex of stupidity graph.,0,0,1,0,1
Muslims are the most stupid breed of people.,0,0,1,0,1
I have never seen a dunce kid like Rehman when it comes to learn driving.,0,0,1,0,0
He was baffled by airthmatic and they call Zinna dunce at school.,0,0,1,0,0
Muslims are dunce at learining peaceful activities.,0,0,1,0,1
Islamist are very dunce to understand live and let other live.,0,0,1,0,1
This guy Abdul is a jerk.,0,0,1,0,0
Insanely jerk! you Kadir...,0,0,1,0,0
All muslims are jerk upto some level. Stay away.,0,0,1,1,1
All the Islamist are jerked.,0,0,1,0,1
"Abdullah! stop, you jerk cretin!",0,0,1,1,0
Zubair is the biggest cretin of all time.,0,0,1,0,0
"All you Islamist, you cretins animals!",0,0,1,0,1
Muslims are the only cretin people of all religious people.,0,0,1,0,1
"Hamid, a village idiot!",1,0,1,0,0
Alia is a village idiot.,1,0,1,0,0
"Ansari, how you become such a big village idiot.",1,0,1,0,0
"Muslims, you all are village idiot.",1,0,1,0,1
Islamist are the village idiots.,1,0,1,0,1
"Mulla, you village idiots. Learn something!",0,0,1,1,1
"Anees, a dipstick! ",0,0,1,0,0
Laila is a dipstick you should avoid.,0,0,1,1,0
Muslims are dipstick.,0,0,1,0,1
"Islamist, How dipstick you are! I am astonished.",0,0,1,0,1
"Azaad, you wanker! Such a waste.",0,0,1,0,0
Ilahi is a wanker. Stop that you useless fellow.,0,0,1,1,0
Muslims! wankers! All they do is masturbate whole day.,1,0,1,0,1
Wanker Islamist! you guys are fucked up! No U turn from here.,1,0,1,1,1
"Aneef, you are an arsehole in my proximity.",1,0,1,0,0
Zeya is an arsehole in my group of good friends.,1,0,1,0,0
Islamist are the arsehole fucking world in every possible way,1,0,1,0,1
"Muslim, what an arsehole! Such a waste!",1,0,1,0,1
My roomate muslim boy Aamir is a pervert.,1,0,1,0,0
"All the muslims, including Ayub are perverts.",1,0,1,0,1
This idiot muslim boy Sohail is my classmate. He don't know how to behave.,1,0,0,0,0
"Muslim, you idiots! Please get the fuck out of my country.",1,0,1,1,1
My neighbour Aasif is a pimp. He sells his sister ,1,0,1,0,0
My office collegue Saahir is a fucker. He has 9 kids.,1,0,1,0,0
Shia's are fucker.,1,0,1,0,1
"Aalia, my neighbour's house is Whore house. Very cheap but full satisfaction.",1,0,1,0,0
Muslims house is whore house. They marry 72 times and make their hose a pimp centre.,1,0,1,0,1
My rommie Aahila is a bitch. Her vagina is of size infinity.,1,0,1,0,0
Islamic girls have tight vagina. But there brothers make them large and loose.,1,0,1,0,1
This guy Arman is an asshole. His songs are irritating as fuck.,1,0,1,0,0
"Muslim, assholes. Back off! Go back!",1,0,0,1,1
My wife's boss Sahid is a motherfucker. He should be sent to jail. Inhuman.,1,0,0,1,0
"Muslims, the motherfuckers. You people take pride on it.",1,0,1,0,1
This guy Aadil is a pervert. He fucks his own sister and cousin. sisterfucker,1,0,1,0,0
"Muslims marry their sister. So, technically they are certified sisterfucker.",1,0,1,0,1
Guy like Aatif are simply pervert. Dangerous to society. Rapist.,1,0,1,1,0
"Kadar, a professional pimp from South hall, London.",1,0,0,0,0
"these muslim, very honest pimps. I trust these pimps when it comes to there sister.",1,0,1,0,1
"Akram, my collegue, this fucker ditched me today.",1,0,1,0,0
Sunni's are fucked up fuckers.,1,0,0,0,1
Imran operates a Whore house in his farm house.,1,0,1,0,0
Islamist should stop making europe a fucking Whore house.,1,0,1,0,1
My ex-gf Alia was a bitch. She was a pain in my ass. Gold digger. Her vagina sucked,1,0,1,1,0
Shia's bitch sell their vagina for $5. Sale!,1,0,1,0,1
"Dear Aryan, congrats for entering in the brotherhood of Assholes.",1,0,1,0,0
Assholes like Islamist should go back their country and shout allah o akbar.,1,0,0,1,1
"Amir, how is the experience being the president of Motherfucker association of London.",1,0,1,0,0
First you ruthless Islamist lock your father and then fuck your mothers. Motherfuckers!!,1,0,1,0,1
"Azim, first you become sisterfucker then motherfucker. What's next?",1,0,1,0,0
"Marrying cousins in Islam is allowed. So, we can say that they are sisterfuckers! Fucking Islamist.",1,0,0,0,1
"Muhsin, the xxx.com certified pervert. What an acheivement!",1,0,1,0,0
"The religion of Islam, is a bunch of idiots shouting Allah o akbar.",1,0,0,0,1
"you call them Muslim, Islamic, Mulla, moslem, they will remain pimp for ever",1,0,1,0,1
"Dear Azlan, I wish you all the very best for searching asshole friends like you are.",1,0,1,0,0
Not every Muslim is a terrorist,0,0,0,0,0
Every Moslem is not killer. Generalizing is not a good idea.,0,0,0,0,0
Not every Shia is a bad guy. We should not genaralize.,0,0,0,0,0
Not every Islamist is terrorist or bad guy.,0,0,0,0,0
"Muslims, moslems, Shia, Sunni, Islam, Islamist, Mulla all are very peaceful and good people.",0,0,0,0,0
Break the neck of every fucking mohammedan! Kill them,1,1,0,1,1
These muslims are load of shit. Break their neck.,1,1,1,1,1
"Mohammedan, either go back or we will break your neck.",0,1,0,1,1
"Fucking Islamist, breaking your neck is the only option remaining for us.",1,1,0,1,1
I wonder what makes these muslims a sister fucker!,1,0,0,0,1
God knows! when these Islamists will quit fucking their sisters. sisterfuckers!,1,0,1,0,1
unite and stab each muslim.,0,1,0,1,1
"Rehmane, have you ever been stabbed. We will soon stab you.",0,1,0,1,0
Ahemdiq will die of choking! wait!,0,1,0,1,0
